K¸rzel;Warengruppe;Einheit;Preis;Jahr;Monat;Kunde;Spalte1;;
1002;Blechkuchen;60;16,00;2019;Januar;Edeka Berlin;;;
1002;Blechkuchen;60;16,00;2019;Februar;Edeka Berlin;;;
1002;Blechkuchen;60;16,00;2019;M‰rz;Edeka Berlin;;;
1002;Blechkuchen;60;16,00;2019;April;Edeka Berlin;;;
1002;Blechkuchen;100;16,00;2019;Mai;Frischkauf;;;
1002;Blechkuchen;100;16,00;2019;Juni;Frischkauf;;;
1002;Blechkuchen;100;16,00;2019;Juli;Frischkauf;;;
1002;Blechkuchen;100;16,00;2019;August;Frischkauf;;;
1002;Blechkuchen;80;16,00;2019;September;Edeka Berlin;;;
1002;Blechkuchen;100;16,00;2019;September;Frischkauf;;;
1002;Blechkuchen;80;16,00;2019;Oktober;Edeka Berlin;;;
1002;Blechkuchen;100;16,00;2019;Oktober;Frischkauf;;;
1002;Blechkuchen;80;16,00;2019;November;Edeka Berlin;;;
1002;Blechkuchen;100;16,00;2019;November;Frischkauf;;;
1002;Blechkuchen;80;16,00;2019;Dezember;Edeka Berlin;;;
1002;Blechkuchen;100;16,00;2019;Dezember;Frischkauf;;;
1010;Dessert konventionell;800;1,98;2019;Februar;Budnikowsky;;;
1010;Dessert konventionell;800;1,98;2019;M‰rz;Budnikowsky;;;
1010;Dessert konventionell;800;1,98;2019;April;Budnikowsky;;;
1010;Dessert konventionell;1000;1,98;2019;Mai;Budnikowsky;;;
1010;Dessert konventionell;1100;1,98;2019;Juni;Budnikowsky;;;
1010;Dessert konventionell;1200;1,98;2019;Juli;Budnikowsky;;;
1010;Dessert konventionell;1200;1,98;2019;August;Budnikowsky;;;
1010;Dessert konventionell;1400;1,98;2019;September;Budnikowsky;;;
1010;Dessert konventionell;1400;1,98;2019;Oktober;Budnikowsky;;;
1010;Dessert konventionell;1500;1,98;2019;November;Budnikowsky;;;
1010;Dessert konventionell;1500;1,98;2019;Dezember;Budnikowsky;;;
1004;Pizzastangen groﬂ;61.500;1,23;2019;Januar;Aldi Nord;;;
1004;Pizzastangen groﬂ;500;1,23;2019;Januar;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Januar;Migros;;;
1004;Pizzastangen groﬂ;62.500;1,23;2019;Februar;Aldi Nord;;;
1004;Pizzastangen groﬂ;500;1,23;2019;Februar;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Februar;Migros;;;
1004;Pizzastangen groﬂ;63.400;1,23;2019;M‰rz;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;M‰rz;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;M‰rz;Migros;;;
1004;Pizzastangen groﬂ;59.900;1,23;2019;April;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;April;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;April;Migros;;;
1004;Pizzastangen groﬂ;62.200;1,23;2019;Mai;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Mai;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Mai;Migros;;;
1004;Pizzastangen groﬂ;65.100;1,23;2019;Juni;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Juni;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Juni;Migros;;;
1004;Pizzastangen groﬂ;65.000;1,23;2019;Juli;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Juli;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Juli;Migros;;;
1004;Pizzastangen groﬂ;66.700;1,23;2019;August;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;August;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;August;Migros;;;
1004;Pizzastangen groﬂ;65.900;1,23;2019;September;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;September;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;September;Migros;;;
1004;Pizzastangen groﬂ;65.900;1,23;2019;Oktober;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Oktober;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Oktober;Migros;;;
1004;Pizzastangen groﬂ;67.200;1,23;2019;November;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;November;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;November;Migros;;;
1004;Pizzastangen groﬂ;68.400;1,23;2019;Dezember;Aldi Nord;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Dezember;Bio Company;;;
1004;Pizzastangen groﬂ;600;1,23;2019;Dezember;Migros;;;
1005;Pizzastangen klein;2500;1,02;2019;Januar;Edeka Berlin;;;
1005;Pizzastangen klein;2500;1,02;2019;Februar;Edeka Berlin;;;
1005;Pizzastangen klein;3000;1,02;2019;Februar;LIDL;;;
1005;Pizzastangen klein;2500;1,02;2019;M‰rz;Edeka Berlin;;;
1005;Pizzastangen klein;3000;1,02;2019;M‰rz;LIDL;;;
1005;Pizzastangen klein;3000;1,02;2019;April;Edeka Berlin;;;
1005;Pizzastangen klein;5000;1,02;2019;April;Lekkerland;;;
